Year,Province,District,Latitude,Longitude,Elevation,Month,Cases,Temp_avg,Precipitation_avg,Humidity_avg,Population,Date,Cases_per_1000,Prev_Cases,Case_Growth_Rate,Month_encoded,Month_sin,Month_cos
2019,Southern,Galle,6.0808434,80.23373,8.0,8.0,956.0,26.31428571428572,15.382142857142862,86.75,,2019-08-01,0.0,1055.0,-0.0938388625592417,8,-0.8660254037844385,-0.5000000000000004
2019,Southern,Galle,6.0808434,80.23373,8.0,9.0,470.0,26.026785714285715,13.778571428571428,87.82142857142857,,2019-09-01,0.0,956.0,-0.5083682008368201,9,-1.0,-1.8369701987210297e-16
2019,Southern,Galle,6.0808434,80.23373,8.0,10.0,536.0,25.65357142857143,16.064285714285713,88.35714285714286,,2019-10-01,0.0,470.0,0.14042553191489363,10,-0.8660254037844386,0.5000000000000001
2019,Southern,Galle,6.0808434,80.23373,8.0,11.0,993.0,26.18035714285714,7.403571428571428,87.10714285714286,,2019-11-01,0.0,536.0,0.8526119402985075,11,-0.5000000000000004,0.8660254037844384
2019,Southern,Galle,6.0808434,80.23373,8.0,12.0,823.0,26.09464285714286,8.667857142857143,86.03571428571429,,2019-12-01,0.0,993.0,-0.17119838872104734,12,-2.4492935982947064e-16,1.0
2020,Southern,Galle,6.0808434,80.23373,8.0,1.0,651.0,26.525,1.4964285714285714,80.75,,2020-01-01,0.0,823.0,-0.20899149453219928,1,0.49999999999999994,0.8660254037844387
2020,Southern,Galle,6.0808434,80.23373,8.0,2.0,249.0,27.226785714285715,2.296428571428572,75.5,,2020-02-01,0.0,651.0,-0.6175115207373272,2,0.8660254037844386,0.5000000000000001
2020,Southern,Galle,6.0808434,80.23373,8.0,3.0,63.0,28.133928571428577,1.5464285714285717,73.96428571428571,,2020-03-01,0.0,249.0,-0.7469879518072289,3,1.0,6.123233995736766e-17
2020,Southern,Galle,6.0808434,80.23373,8.0,4.0,41.0,27.46428571428571,6.824999999999998,83.64285714285714,,2020-04-01,0.0,63.0,-0.3492063492063492,4,0.8660254037844387,-0.4999999999999998
2020,Southern,Galle,6.0808434,80.23373,8.0,5.0,233.0,27.355357142857144,11.417857142857144,86.25,,2020-05-01,0.0,41.0,4.682926829268292,5,0.49999999999999994,-0.8660254037844387
2020,Southern,Galle,6.0808434,80.23373,8.0,6.0,149.0,27.21071428571429,7.44642857142857,84.35714285714286,,2020-06-01,0.0,233.0,-0.3605150214592275,6,1.2246467991473532e-16,-1.0
2020,Southern,Galle,6.0808434,80.23373,8.0,7.0,101.0,26.61785714285714,9.410714285714286,85.5,,2020-07-01,0.0,149.0,-0.3221476510067114,7,-0.4999999999999997,-0.8660254037844388
